type,time,latitude,longitude,alt,name,color,width
T,22:05:02,39.940648,-75.199472,0.000,GPS,cyan,2
T,22:05:03,39.940637,-75.199475,0.000,GPS,cyan,2
T,22:05:03,39.940625,-75.199476,0.000,GPS,cyan,2
T,22:05:03,39.940613,-75.199475,0.000,GPS,cyan,2
T,22:05:04,39.940601,-75.199472,0.000,GPS,cyan,2
T,22:05:04,39.940591,-75.199466,0.000,GPS,cyan,2
T,22:05:05,39.940572,-75.199449,0.000,GPS,cyan,2
T,22:05:05,39.940564,-75.199438,0.000,GPS,cyan,2
T,22:05:06,39.940556,-75.199426,0.000,GPS,cyan,2
T,22:05:06,39.940548,-75.199413,0.000,GPS,cyan,2
T,22:05:07,39.940541,-75.199398,0.000,GPS,cyan,2
T,22:05:07,39.940534,-75.199381,0.000,GPS,cyan,2
T,22:05:07,39.940527,-75.199364,0.000,GPS,cyan,2
T,22:05:08,39.940520,-75.199345,0.000,GPS,cyan,2
T,22:05:08,39.940515,-75.199325,0.000,GPS,cyan,2
T,22:05:09,39.940509,-75.199304,0.000,GPS,cyan,2
T,22:05:09,39.940504,-75.199283,0.000,GPS,cyan,2
T,22:05:09,39.940499,-75.199262,0.000,GPS,cyan,2
T,22:05:10,39.940494,-75.199239,0.000,GPS,cyan,2
T,22:05:10,39.940488,-75.199217,0.000,GPS,cyan,2
T,22:05:11,39.940483,-75.199195,0.000,GPS,cyan,2
T,22:05:11,39.940478,-75.199172,0.000,GPS,cyan,2
T,22:05:11,39.940473,-75.199149,0.000,GPS,cyan,2
T,22:05:12,39.940468,-75.199127,0.000,GPS,cyan,2
T,22:05:12,39.940463,-75.199105,0.000,GPS,cyan,2
T,22:05:13,39.940458,-75.199085,0.000,GPS,cyan,2
T,22:05:13,39.940454,-75.199066,0.000,GPS,cyan,2
T,22:05:13,39.940450,-75.199048,0.000,GPS,cyan,2
T,22:05:14,39.940447,-75.199030,0.000,GPS,cyan,2
T,22:05:14,39.940446,-75.199011,0.000,GPS,cyan,2
T,22:05:15,39.940448,-75.198993,0.000,GPS,cyan,2
T,22:05:15,39.940452,-75.198976,0.000,GPS,cyan,2
T,22:05:16,39.940468,-75.198946,0.000,GPS,cyan,2
T,22:05:16,39.940476,-75.198934,0.000,GPS,cyan,2
T,22:05:17,39.940486,-75.198923,0.000,GPS,cyan,2
T,22:05:17,39.940497,-75.198914,0.000,GPS,cyan,2
T,22:05:17,39.940507,-75.198907,0.000,GPS,cyan,2
T,22:05:18,39.940520,-75.198902,0.000,GPS,cyan,2
T,22:05:18,39.940533,-75.198897,0.000,GPS,cyan,2
T,22:05:19,39.940548,-75.198893,0.000,GPS,cyan,2
T,22:05:19,39.940562,-75.198890,0.000,GPS,cyan,2
T,22:05:19,39.940576,-75.198886,0.000,GPS,cyan,2
T,22:05:20,39.940592,-75.198881,0.000,GPS,cyan,2
T,22:05:20,39.940608,-75.198876,0.000,GPS,cyan,2
T,22:05:21,39.940625,-75.198871,0.000,GPS,cyan,2
T,22:05:21,39.940641,-75.198866,0.000,GPS,cyan,2
T,22:05:21,39.940657,-75.198860,0.000,GPS,cyan,2
T,22:05:22,39.940676,-75.198854,0.000,GPS,cyan,2
T,22:05:22,39.940695,-75.198848,0.000,GPS,cyan,2
T,22:05:23,39.940711,-75.198842,0.000,GPS,cyan,2
T,22:05:23,39.940727,-75.198835,0.000,GPS,cyan,2
T,22:05:23,39.940744,-75.198828,0.000,GPS,cyan,2
T,22:05:24,39.940763,-75.198821,0.000,GPS,cyan,2
T,22:05:24,39.940780,-75.198814,0.000,GPS,cyan,2
T,22:05:25,39.940796,-75.198808,0.000,GPS,cyan,2
T,22:05:25,39.940813,-75.198800,0.000,GPS,cyan,2
T,22:05:25,39.940828,-75.198793,0.000,GPS,cyan,2
T,22:05:26,39.940844,-75.198787,0.000,GPS,cyan,2
T,22:05:26,39.940859,-75.198781,0.000,GPS,cyan,2
T,22:05:27,39.940874,-75.198776,0.000,GPS,cyan,2
T,22:05:27,39.940888,-75.198771,0.000,GPS,cyan,2
T,22:05:27,39.940902,-75.198766,0.000,GPS,cyan,2
T,22:05:28,39.940917,-75.198761,0.000,GPS,cyan,2
T,22:05:28,39.940934,-75.198756,0.000,GPS,cyan,2
T,22:05:29,39.940949,-75.198750,0.000,GPS,cyan,2
T,22:05:29,39.940963,-75.198747,0.000,GPS,cyan,2
T,22:05:29,39.940978,-75.198743,0.000,GPS,cyan,2
T,22:05:30,39.940991,-75.198741,0.000,GPS,cyan,2
T,22:05:30,39.941003,-75.198743,0.000,GPS,cyan,2
T,22:05:31,39.941016,-75.198746,0.000,GPS,cyan,2
T,22:05:31,39.941028,-75.198753,0.000,GPS,cyan,2
T,22:05:31,39.941039,-75.198761,0.000,GPS,cyan,2
T,22:05:32,39.941049,-75.198772,0.000,GPS,cyan,2
T,22:05:32,39.941057,-75.198784,0.000,GPS,cyan,2
T,22:05:33,39.941065,-75.198798,0.000,GPS,cyan,2
T,22:05:33,39.941073,-75.198812,0.000,GPS,cyan,2
